,Time,262800 __DutyCycle_1,277400 __DutyCycle_1,292000 __DutyCycle_1,262800 __DutyCycle_2,277400 __DutyCycle_2,292000 __DutyCycle_2,262800 __DutyCycle_3,277400 __DutyCycle_3,292000 __DutyCycle_3,262800 __DutyCycle_4,277400 __DutyCycle_4,292000 __DutyCycle_4,262800 __DutyCycle_5,277400 __DutyCycle_5,292000 __DutyCycle_5
55,18905.914247127897,0.3046590060875872,0.9474776602493895,0.9999999999999971,0.06844613855344173,0.08259382839061569,0.3587954752909027,0.06844613855344173,0.06844613855344173,0.06844613855344173,0.043667090851983725,0.043667090851983725,0.043667090851983725,0.06844613855344173,0.06844613855344173,0.06844613855344173
56,20796.50567184069,0.38345423767152265,0.9801948584785156,1.0,0.09005360532825502,0.1084010137595508,0.4465066010878983,0.09005360532825502,0.09005360532825502,0.09005360532825502,0.057696697300689714,0.057696697300689714,0.057696697300689714,0.09005360532825502,0.09005360532825502,0.09005360532825502
57,22876.15623902476,0.47465592677368973,0.9945923141814583,1.0,0.11803765959598389,0.1416277039071624,0.544925327416594,0.11803765959598389,0.11803765959598389,0.11803765959598389,0.07605134118583401,0.07605134118583401,0.07605134118583401,0.11803765959598389,0.11803765959598389,0.11803765959598389
58,25163.77186292724,0.5754676916694609,0.9990391883904531,1.0,0.15395394470198698,0.1839395198418483,0.6493223984821801,0.15395394470198698,0.15395394470198698,0.15395394470198698,0.09992795312693914,0.09992795312693914,0.09992795312693914,0.15395394470198698,0.15395394470198698,0.15395394470198698
59,27680.149049219966,0.6802951649297511,0.9999036411739843,1.0,0.19949984466951431,0.23703881662220483,0.7521022502150293,0.19949984466951431,0.19949984466951431,0.19949984466951431,0.13075329722491158,0.13075329722491158,0.13075329722491158,0.19949984466951431,0.19949984466951431,0.19949984466951431
60,30448.163954141964,0.7808097706668718,0.9999954860204555,1.0,0.2563406362264887,0.3023931250458515,0.8437655473953743,0.2563406362264887,0.2563406362264887,0.2563406362264887,0.17015037475600636,0.17015037475600636,0.17015037475600636,0.2563406362264887,0.2563406362264887,0.2563406362264887
61,33492.980349556165,0.867372676531553,0.9999999232251795,1.0,0.3257842998630931,0.3807786657479215,0.9154882812412265,0.3257842998630931,0.3257842998630931,0.3257842998630931,0.21983187180104535,0.21983187180104535,0.21983187180104535,0.3257842998630931,0.3257842998630931,0.3257842998630931
62,36842.27838451178,0.9320445128652274,0.9999999996609793,1.0,0.40825951318789466,0.4716193469261276,0.9626984877067851,0.40825951318789466,0.40825951318789466,0.40825951318789466,0.28137470494697703,0.28137470494697703,0.28137470494697703,0.40825951318789466,0.40825951318789466,0.40825951318789466
63,40526.50622296296,0.9720944331087344,0.9999999999997513,1.0,0.5025989016954222,0.572198469819063,0.9874406289585349,0.5025989016954222,0.5025989016954222,0.5025989016954222,0.35582357409962406,0.35582357409962406,0.35582357409962406,0.5025989016954222,0.5025989016954222,0.5025989016954222
64,44579.15684525926,0.9914647839134125,1.0,1.0,0.6052549699738929,0.6770141129938476,0.9970506503431137,0.6052549699738929,0.6052549699738929,0.6052549699738929,0.44308947540372023,0.44308947540372023,0.44308947540372023,0.6052549699738929,0.6052549699738929,0.6052549699738929
