Vane,RPM corr [1/min],ER [ - ],M corr [kg/s],eta [fraction]
0,66461.5,2.55777,0.037622,0.541768
0,66461.5,2.833663,0.038529,0.57085
0,66461.5,3,0.038898,0.578907
0,68256.4,1.142018,0.001,0.01
0,68256.4,1.172018,0.005427,0.01
0,68256.4,1.202018,0.008858,0.01
0,68256.4,1.232018,0.011639,0.01
0,68256.4,1.262018,0.013965,0.01
0,68256.4,1.292018,0.015955,0.01
0,68256.4,1.49981,0.024807,0.01
0,68256.4,1.707602,0.029651,0.147715
0,68256.4,1.915394,0.032732,0.330208
0,68256.4,2.123186,0.03483,0.426166
0,68256.4,2.330978,0.036309,0.485689
0,68256.4,2.53877,0.03737,0.526532
0,68256.4,2.8089,0.038312,0.560681
0,68256.4,3,0.038758,0.572786
0,70051.3,1.149858,0.001,0.01
0,70051.3,1.179858,0.00531,0.01
0,70051.3,1.209858,0.008683,0.01
0,70051.3,1.239858,0.011434,0.01
0,70051.3,1.269858,0.013745,0.01
0,70051.3,1.299858,0.015728,0.01
0,70051.3,1.499957,0.024355,0.01
0,70051.3,1.700057,0.029168,0.079047
0,70051.3,1.900156,0.032266,0.281902
0,70051.3,2.100256,0.034396,0.390542
0,70051.3,2.300355,0.035915,0.458221
0,70051.3,2.500455,0.037016,0.50488
0,70051.3,2.760584,0.038011,0.545371
0,70051.3,3,0.038612,0.56518
0,71846.2,1.157939,0.001,0.01
0,71846.2,1.187939,0.005196,0.01
0,71846.2,1.217939,0.008511,0.01
0,71846.2,1.247939,0.011232,0.01
0,71846.2,1.277939,0.013526,0.01
0,71846.2,1.307939,0.0155,0.01
0,71846.2,1.538197,0.025023,0.01
0,71846.2,1.768455,0.030037,0.110492
0,71846.2,1.998712,0.033141,0.307345
0,71846.2,2.22897,0.035204,0.412447
0,71846.2,2.459227,0.036622,0.478477
0,71846.2,2.689485,0.037606,0.522803
0,71846.2,2.98882,0.038437,0.555386
0,71846.2,3,0.03846,0.556063
0,73641,1.166267,0.001,0.01
0,73641,1.196267,0.005086,0.01
0,73641,1.226267,0.008343,0.01
0,73641,1.256267,0.011031,0.01
0,73641,1.286267,0.013307,0.01
0,73641,1.316267,0.015272,0.01
0,73641,1.545483,0.024767,0.01
0,73641,1.7747,0.029797,0.060242
0,73641,2.003917,0.032921,0.272468
0,73641,2.233133,0.035001,0.386992
0,73641,2.46235,0.036435,0.459206
0,73641,2.691567,0.037434,0.507894
0,73641,2.989548,0.03828,0.544645
0,73641,3,0.038303,0.545408
0,75435.9,1.174842,0.001,0.01
0,75435.9,1.204842,0.004979,0.01
0,75435.9,1.234842,0.008177,0.01
0,75435.9,1.264842,0.010832,0.01
0,75435.9,1.294842,0.013089,0.01
0,75435.9,1.324842,0.015043,0.01
0,75435.9,1.518195,0.023459,0.01
0,75435.9,1.711548,0.028276,0.01
0,75435.9,1.904901,0.031421,0.150226
0,75435.9,2.098254,0.033608,0.291547
0,75435.9,2.291607,0.035185,0.381157
0,75435.9,2.48496,0.036343,0.443416
0,75435.9,2.736318,0.037407,0.49902
0,75435.9,3,0.038139,0.533189
0,77230.8,1.18367,0.001,0.01
0,77230.8,1.21367,0.004875,0.01
0,77230.8,1.24367,0.008015,0.01
0,77230.8,1.27367,0.010635,0.01
0,77230.8,1.30367,0.012872,0.01
0,77230.8,1.33367,0.014814,0.01
0,77230.8,1.356628,0.01614,0.01
0,77230.8,1.379585,0.01735,0.01
0,77230.8,1.402543,0.018461,0.01
0,77230.8,1.4255,0.019486,0.01
0,77230.8,1.448458,0.020436,0.01
0,77230.8,1.471416,0.021318,0.01
0,77230.8,1.50126,0.022377,0.01
0,77230.8,1.540059,0.023626,0.01
0,77230.8,1.590497,0.025066,0.01
0,77230.8,1.656066,0.026687,0.01
0,77230.8,1.741306,0.02846,0.01
0,77230.8,1.852118,0.030336,0.039421
0,77230.8,1.996173,0.032246,0.181433
0,77230.8,2.183445,0.034105,0.30155
0,77230.8,2.426899,0.035808,0.401696
0,77230.8,2.743389,0.037242,0.48234
0,77230.8,3,0.03797,0.519379
0,79025.6,1.192753,0.001,0.01
0,79025.6,1.222753,0.004774,0.01
0,79025.6,1.252753,0.007855,0.01
0,79025.6,1.282753,0.010441,0.01
0,79025.6,1.312753,0.012656,0.01
0,79025.6,1.342753,0.014585,0.01
0,79025.6,1.533824,0.022907,0.01
0,79025.6,1.724894,0.027737,0.01
0,79025.6,1.915965,0.030911,0.055544
0,79025.6,2.107035,0.033131,0.218287
0,79025.6,2.298106,0.03474,0.32267
0,79025.6,2.489176,0.035927,0.395586
0,79025.6,2.737568,0.037025,0.461378
0,79025.6,3,0.037795,0.503953
0,80820.5,1.202096,0.001,0.01
0,80820.5,1.232096,0.004676,0.01
0,80820.5,1.262096,0.007699,0.01
0,80820.5,1.292096,0.010249,0.01
0,80820.5,1.322096,0.012442,0.01
0,80820.5,1.352096,0.014356,0.01
0,80820.5,1.576834,0.023689,0.01
0,80820.5,1.801572,0.02877,0.01
0,80820.5,2.02631,0.031968,0.110561
0,80820.5,2.251048,0.034122,0.264534
0,80820.5,2.475786,0.035622,0.363159
0,80820.5,2.700524,0.03668,0.430773
0,80820.5,2.992683,0.037596,0.485933
0,80820.5,3,0.037613,0.486885
0,82615.4,1.211701,0.001,0.01
0,82615.4,1.241701,0.004581,0.01
0,82615.4,1.271701,0.007546,0.01
0,82615.4,1.301701,0.010059,0.01
0,82615.4,1.331701,0.012229,0.01
0,82615.4,1.361701,0.014129,0.01
0,82615.4,1.53849,0.021949,0.01
0,82615.4,1.715279,0.026673,0.01
0,82615.4,1.892068,0.029855,0.01
0,82615.4,2.068857,0.032125,0.097402
0,82615.4,2.245646,0.033802,0.22281
0,82615.4,2.422435,0.035064,0.311174
0,82615.4,2.652261,0.036264,0.392781
0,82615.4,2.951035,0.037299,0.460568
0,82615.4,3,0.037426,0.468147
0,84410.3,1.221573,0.001,0.01
0,84410.3,1.251573,0.004489,0.01
0,84410.3,1.281573,0.007396,0.01
0,84410.3,1.311573,0.009873,0.01
0,84410.3,1.341573,0.012018,0.01
0,84410.3,1.371573,0.013902,0.01
0,84410.3,1.593876,0.02312,0.01
