Nozzle	RPM	PRT	Q	EtaT
0.4	44000	16	1.222848	0.806106628
0.6	9000	1.025403315	8.01E-03	0.061025
0.6	9000	1.033404399	1.40E-01	0.061025
0.6	9000	1.041438619	2.31E-01	0.280402655
0.6	9000	1.0495019	3.01E-01	0.524082718
0.6	9000	1.057596276	3.57E-01	0.66671204
0.6	9000	1.065721746	0.404848	0.753570298
0.6	9000	1.073878311	0.446168	0.807489163
0.6	9000	1.08206597	0.482824	0.840956653
0.6	9000	1.090284724	0.515872	0.861234935
0.6	9000	1.098534572	0.546064	0.872759368
0.6	9000	1.106815515	0.573904	0.878344633
0.6	9000	1.117627438	0.607232	0.879683068
0.6	9000	1.131761929	0.646648	0.875158408
0.6	9000	1.15026912	0.692688	0.863466395
0.6	9000	1.174553078	0.745832	0.843913558
0.6	9000	1.206500134	0.806488	0.816604633
0.6	9000	1.248674388	0.874904	0.782455798
0.6	9000	1.304582005	0.951176	0.74302709
0.6	9000	1.379093225	1.035096	0.700247885
0.6	9000	1.479052443	1.126016	0.65610158
0.6	9000	1.614226152	1.222672	0.612245233
0.6	9000	1.798785251	1.322936	0.569990818
0.6	9000	2.053646633	1.42356	0.53018285
0.6	9000	2.410197255	1.5198	0.49311239
0.6	9000	2.916362246	1.605224	0.458453098
0.6	9000	3.646442308	1.67156	0.425232568
0.6	9000	4.717349427	1.70924	0.391887455
0.6	9000	6.315370042	1.70956	0.356615173
0.6	9000	8.740667557	1.671056	0.318240455
0.6	9000	12.48146013	1.618024	0.277931953
0.6	9000	16	1.610848	0.253326358
0.6	10842.1	1.037036723	8.01E-03	0.061025
0.6	10842.1	1.049059384	1.68E-01	0.061025
0.6	10842.1	1.061153395	2.78E-01	0.289063895
0.6	10842.1	1.07331672	3.61E-01	0.531659098
0.6	10842.1	1.085549359	0.428544	0.672680975
0.6	10842.1	1.097849215	0.484864	0.758093855
0.6	10842.1	1.110220469	0.533576	0.810872735
0.6	10842.1	1.122661036	0.57664	0.843496813
0.6	10842.1	1.135170917	0.615336	0.86318195
0.6	10842.1	1.147750112	0.650568	0.874316098
0.6	10842.1	1.160396465	0.682952	0.87967094
0.6	10842.1	1.176942917	0.721592	0.880894715
0.6	10842.1	1.198628643	0.767072	0.87644723
0.6	10842.1	1.227114494	0.819896	0.865110223
